City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,la romana,18.4273,-68.9728,73.02,92,0,6.17,DO,1681190786
293,gimbi,9.1667,35.8333,66.65,52,55,2.93,ET,1681190786
294,warrnambool,-38.3833,142.4833,63.34,62,100,4.99,AU,1681190786
295,villazon,-22.0866,-65.5942,47.7,73,99,6.76,BO,1681190787
296,chapais,49.7834,-74.8492,35.38,95,100,6.04,CA,1681190787
297,race,46.4519,15.6814,46.2,93,88,1.14,SI,1681190787
298,fresno,36.6666,-119.8343,73.63,56,0,9.22,US,1681190535
299,moron,-34.6534,-58.6198,69.55,90,34,6.73,AR,1681190788
300,putina,-15.4667,-69.4333,41.14,83,57,7.99,PE,1681190788
301,dehloran,32.6941,47.2679,80.76,22,68,11.99,IR,1681190788
302,leh,34.1667,77.5833,29.05,47,0,2.73,IN,1681190788
303,banfora,10.6333,-4.7667,81.97,51,81,3.85,BF,1681190789
304,los llanos de aridane,28.6585,-17.9182,65.95,35,0,12.66,ES,1681190789
305,deputatskiy,69.3,139.9,4.91,72,1,1.83,RU,1681190210
306,talcahuano,-36.7167,-73.1167,58.68,100,100,4.61,CL,1681190789
307,yamada,39.4667,141.95,65.95,44,100,10.85,JP,1681190790
308,palmer,42.1584,-72.3287,49.39,57,0,0.0,US,1681190790
309,puerto del rosario,28.5004,-13.8627,64.15,88,40,14.97,ES,1681190790
310,sao raimundo das mangabeiras,-7.0219,-45.4811,74.26,89,100,2.8,BR,1681190790
311,clonakilty,51.6231,-8.8706,42.01,85,99,14.38,IE,1681190791
312,huarmey,-10.0681,-78.1522,76.48,83,85,7.56,PE,1681190197
313,telemaco borba,-24.3239,-50.6156,58.57,98,33,1.63,BR,1681190791
314,cartagena,10.3997,-75.5144,80.22,83,40,9.22,CO,1681190204
315,waipawa,-41.4122,175.5153,60.28,68,80,7.54,NZ,1681190791
316,kidal,18.4411,1.4078,80.08,15,99,14.32,ML,1681190792
317,formosa do rio preto,-11.0483,-45.1931,69.28,92,36,1.05,BR,1681190792
318,naqadeh,36.9553,45.388,60.87,39,99,4.99,IR,1681190792
319,gidole,5.65,37.3667,63.36,60,99,2.26,ET,1681190792
320,oranjemund,-28.55,16.4333,55.15,76,60,9.62,NA,1681190792
321,moindou,-21.6924,165.677,80.82,73,45,4.61,NC,1681190792
322,manadhoo,5.7667,73.3833,84.06,71,27,11.86,MV,1681190793
323,huicheng,23.0385,116.2899,79.03,64,77,8.05,CN,1681190793
324,chapleau,47.8405,-83.4034,41.13,91,100,12.48,CA,1681190793
325,saint george,37.1041,-113.5841,68.59,31,0,3.44,US,1681190663
326,ulaangom,49.9811,92.0667,24.26,47,100,5.57,MN,1681190793
327,neiafu,-18.65,-173.9833,81.28,83,20,13.8,TO,1681190794
328,kualakapuas,-3.0091,114.3876,92.68,47,43,6.26,ID,1681190794
329,abu samrah,35.3029,37.1841,60.96,77,50,14.27,SY,1681190794
330,sabang,5.8933,95.3214,83.91,71,33,11.63,ID,1681190794
331,tutoia,-2.7619,-42.2744,75.04,91,100,4.0,BR,1681190794
332,angoche,-16.2325,39.9086,78.13,84,12,2.33,MZ,1681190795
333,qaqortoq,60.7167,-46.0333,33.06,72,100,6.31,GL,1681190795
334,sabha,27.0377,14.4283,54.77,27,42,3.67,LY,1681190795
335,belaya gora,68.5333,146.4167,8.92,72,100,4.83,RU,1681190795
336,buenavista,8.9769,125.4089,82.18,65,94,11.92,PH,1681190795
337,batagay,67.6333,134.6333,11.98,68,24,4.14,RU,1681190795
338,suoyarvi,62.0833,32.35,34.02,97,99,1.83,RU,1681190796
339,igarka,67.4667,86.5833,-2.52,89,68,10.69,RU,1681190796
